date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2022-06-17 16:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,0.00
2022-06-17 16:05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.35,0.00,NaN,0.00
2022-06-17 16:10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.70,0.00,NaN,0.00
2022-06-17 16:15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.05,0.00,NaN,0.00
2022-06-17 16:20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,125.40,0.00,NaN,0.00
2022-06-17 16:25,-0.22,-409.00,0.00,151.00,390.00,676.20,103.20,192.70,5.56,29.40,129.30,156.75,0.00,NaN,248.60
2022-06-17 16:30,-0.17,-407.40,0.00,160.50,386.00,676.90,103.30,189.70,0.01,31.32,121.00,188.10,14.20,NaN,248.60
2022-06-17 16:35,-0.66,-319.00,0.00,169.10,387.00,677.60,103.20,188.60,0.04,31.80,113.10,177.82,14.03,NaN,260.50
2022-06-17 16:40,-0.20,-190.70,0.00,182.60,390.00,678.40,134.10,192.10,3.52,29.21,102.30,167.53,13.87,NaN,269.40
2022-06-17 16:45,-0.18,-324.40,0.00,182.60,389.00,678.40,148.40,192.40,0.02,27.17,91.88,157.25,13.70,NaN,265.30
2022-06-17 16:50,-0.17,-385.60,0.00,182.80,390.00,678.40,183.00,192.40,2.66,30.60,82.18,146.97,13.53,NaN,263.40
2022-06-17 16:55,-0.18,-218.00,0.00,183.60,389.00,678.60,296.80,191.90,0.01,32.94,72.28,136.68,13.37,NaN,276.10
2022-06-17 17:00,-0.18,-312.00,0.00,183.50,390.00,679.90,285.30,192.40,0.53,40.08,62.52,126.40,13.20,NaN,272.80
2022-06-17 17:05,-0.22,-348.20,0.00,185.10,390.00,679.30,306.60,192.60,2.00,40.02,52.77,109.84,13.13,NaN,271.00
2022-06-17 17:10,-0.13,-297.30,0.00,185.20,390.00,677.10,336.30,192.40,0.01,42.85,44.29,93.28,13.07,NaN,274.80
2022-06-17 17:15,-0.20,-451.40,0.00,185.70,390.00,678.50,384.40,192.10,0.01,42.39,33.85,76.72,13.00,NaN,264.50
2022-06-17 17:20,-0.22,-348.60,0.00,185.80,390.00,677.40,434.50,192.80,7.56,46.45,24.84,60.17,12.93,NaN,271.90
2022-06-17 17:25,-0.20,-396.50,0.00,184.70,391.00,676.90,422.50,192.40,26.26,51.39,17.62,43.61,12.87,NaN,272.70
2022-06-17 17:30,-0.20,-376.10,0.00,185.40,391.00,676.70,480.10,193.20,26.24,55.20,5.96,27.05,12.80,NaN,276.80
2022-06-17 17:35,-0.23,-326.90,0.00,184.50,390.00,677.00,472.50,192.80,4.01,56.73,3.89,22.80,12.65,NaN,281.50
2022-06-17 17:40,-0.25,-337.40,0.00,186.20,389.00,678.80,434.60,192.30,0.11,63.53,2.21,18.55,12.50,NaN,283.20
2022-06-17 17:45,-0.31,-126.70,0.00,195.40,388.00,678.70,510.00,192.00,0.03,69.86,1.28,14.30,12.35,NaN,289.30
2022-06-17 17:50,-0.60,-75.77,0.00,197.40,383.00,675.80,507.80,189.20,0.05,74.89,0.94,10.05,12.20,NaN,292.90
2022-06-17 17:55,-0.38,-80.46,0.00,215.70,386.00,678.80,618.70,189.50,0.04,82.29,0.00,5.80,12.05,NaN,291.20
2022-06-17 18:00,-0.63,-59.57,0.00,223.20,385.00,679.00,628.00,188.10,0.08,95.61,0.00,1.54,11.90,NaN,292.90
2022-06-17 18:05,-0.29,0.00,2.17,227.40,385.00,676.60,626.40,189.10,0.01,104.40,0.00,1.29,11.87,NaN,300.00
2022-06-17 18:10,-3.66,0.00,41.25,189.90,381.00,677.30,622.80,188.90,0.19,111.10,0.00,1.03,11.83,NaN,300.00
2022-06-17 18:15,-0.39,0.00,35.38,109.20,385.00,677.90,624.90,189.10,0.04,121.40,0.00,0.77,11.80,NaN,300.00
2022-06-17 18:20,-0.34,-12.91,0.00,147.50,389.00,679.30,630.90,191.70,1.00,128.00,0.00,0.51,11.77,NaN,300.00
2022-06-17 18:25,-0.24,-56.59,0.00,109.60,389.00,679.80,629.90,192.60,0.02,134.70,0.00,0.26,11.73,NaN,292.10
2022-06-17 18:30,-1.35,-37.06,0.00,226.00,384.00,678.10,580.30,189.50,0.05,148.10,0.00,0.00,11.70,NaN,294.60
